stock,side,avg_exec_price,avg_benchmark,avg_improvement,median_improvement,std_improvement,theoretical_best_avg_improvement,avg_exec_sec_into_minute,win_rate,n_trades,model_pct_of_theoretical_best
ALL,ALL,213.424706348032,213.4326898148148,0.025672566152537553,0.0,0.1472275548279706,0.08142129629629617,27.228282109873266,0.4736111111111111,2160,0.3153052987404401
ALL,buy,213.4556495226202,213.48930555555557,0.03365603293535578,3.552713678800501e-15,0.14507782283151952,0.08929629629629648,31.437118819661038,0.5037037037037037,1080,0.37690289890278067
ALL,sell,213.3937631734438,213.37607407407407,0.017689099369719324,0.0,0.14898600749415133,0.07354629629629586,23.01944540008549,0.44351851851851853,1080,0.24051652170838453
AMZN,buy,223.4814540700083,223.51966666666667,0.038212596658363886,0.025000000000005684,0.14061410595627288,0.11566666666666642,39.53542465673921,0.6037037037037037,270,0.3303682708215905
AMZN,sell,223.4107743355606,223.37944444444443,0.031329891116139715,1.4210854715202004e-14,0.13488727928280864,0.10603703703703671,26.881607917152717,0.5,270,0.2954617744099808
GOOG,buy,572.5069970190788,572.5921851851853,0.08518816610635693,0.01999999999998181,0.2447182415022178,0.21944444444444527,31.393793214489758,0.5555555555555556,270,0.3881992379530175
GOOG,sell,572.334160294059,572.2998518518518,0.03430844220709172,0.01999999999998181,0.2637290410376953,0.17059259259259113,31.886369574731294,0.5444444444444444,270,0.20111331732337914
INTC,buy,27.155922118971564,27.160777777777778,0.004855658806214317,0.0,0.014466138997853763,0.010111111111111192,20.504002568924435,0.34444444444444444,270,0.48022999182339016
INTC,sell,27.15276576439779,27.15059259259259,0.0021731718051978613,0.0,0.014701535214782749,0.007481481481481467,17.73206336387226,0.34444444444444444,270,0.2904734591106058
MSFT,buy,30.6782248824221,30.684592592592594,0.006367710170488005,3.552713678800501e-15,0.017034621157314134,0.011962962962963003,34.315254838490745,0.5111111111111111,270,0.5322853702884692
MSFT,sell,30.677352299757857,30.674407407407408,0.0029448923504480033,0.0,0.0121374904059726,0.010074074074074096,15.577740744585704,0.3851851851851852,270,0.2923238730224114
